

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

  4397.00000 -0.737588E+03  0.555834E+03 -0.775352E+03  0.555828E+03 -0.195557E+03   -260.156   -201.079    -95.642    4397
  4398.00000 -0.737568E+03  0.555843E+03 -0.775332E+03  0.555837E+03 -0.195623E+03   -257.886   -202.593    -96.040    4398
  4399.00000 -0.737545E+03  0.555854E+03 -0.775309E+03  0.555848E+03 -0.195690E+03   -259.145   -203.048    -96.422    4399
  4400.00000 -0.737522E+03  0.555864E+03 -0.775286E+03  0.555858E+03 -0.195755E+03   -260.749   -204.642    -96.787    4400
  4401.00000 -0.737506E+03  0.555871E+03 -0.775270E+03  0.555865E+03 -0.195821E+03   -259.481   -205.849    -97.133    4401
  4402.00000 -0.737480E+03  0.555883E+03 -0.775244E+03  0.555877E+03 -0.195885E+03   -264.289   -207.609    -97.463    4402
  4403.00000 -0.737453E+03  0.555895E+03 -0.775217E+03  0.555889E+03 -0.195950E+03   -267.427   -209.474    -97.778    4403
  4404.00000 -0.737431E+03  0.555905E+03 -0.775195E+03  0.555899E+03 -0.196014E+03   -268.231   -211.092    -98.081    4404
  4405.00000 -0.737404E+03  0.555917E+03 -0.775168E+03  0.555911E+03 -0.196078E+03   -272.125   -212.970    -98.374    4405
  4406.00000 -0.737375E+03  0.555930E+03 -0.775139E+03  0.555924E+03 -0.196141E+03   -276.226   -215.039    -98.658    4406
  4407.00000 -0.737344E+03  0.555943E+03 -0.775108E+03  0.555937E+03 -0.196204E+03   -280.223   -217.212    -98.934    4407
  4408.00000 -0.737311E+03  0.555958E+03 -0.775075E+03  0.555952E+03 -0.196267E+03   -285.158   -219.581    -99.203    4408
  4409.00000 -0.737270E+03  0.555976E+03 -0.775034E+03  0.555970E+03 -0.196330E+03   -293.323   -221.208    -99.466    4409
  4410.00000 -0.737237E+03  0.555991E+03 -0.775001E+03  0.555986E+03 -0.196392E+03   -295.932   -223.712    -99.724    4410
  4411.00000 -0.737202E+03  0.556007E+03 -0.774966E+03  0.556001E+03 -0.196454E+03   -300.038   -226.193    -99.976    4411
  4412.00000 -0.737158E+03  0.556027E+03 -0.774922E+03  0.556021E+03 -0.196515E+03   -310.066   -229.291   -100.224    4412
  4413.00000 -0.737122E+03  0.556043E+03 -0.774886E+03  0.556037E+03 -0.196576E+03   -312.516   -232.012   -100.469    4413
  4414.00000 -0.737097E+03  0.556054E+03 -0.774861E+03  0.556048E+03 -0.196637E+03   -309.510   -233.935   -100.709    4414
  4415.00000 -0.737074E+03  0.556064E+03 -0.774838E+03  0.556058E+03 -0.196698E+03   -309.102   -235.639   -100.946    4415
  4416.00000 -0.737049E+03  0.556076E+03 -0.774813E+03  0.556070E+03 -0.196758E+03   -311.338   -237.466   -101.180    4416
  4417.00000 -0.737022E+03  0.556088E+03 -0.774786E+03  0.556082E+03 -0.196818E+03   -314.387   -239.432   -101.410    4417
  4418.00000 -0.736980E+03  0.556106E+03 -0.774744E+03  0.556100E+03 -0.196878E+03   -327.633   -241.029   -101.639    4418
  4419.00000 -0.736907E+03  0.556139E+03 -0.774671E+03  0.556133E+03 -0.196938E+03   -361.380   -246.493   -101.864    4419
  4420.00000 -0.736865E+03  0.556158E+03 -0.774629E+03  0.556152E+03 -0.196997E+03   -357.975   -250.208   -102.087    4420
  4421.00000 -0.736805E+03  0.556185E+03 -0.774569E+03  0.556179E+03 -0.197056E+03   -378.737   -254.887   -102.308    4421
  4422.00000 -0.736747E+03  0.556211E+03 -0.774511E+03  0.556205E+03 -0.197115E+03   -394.265   -259.760   -102.527    4422
  4423.00000 -0.736695E+03  0.556234E+03 -0.774459E+03  0.556228E+03 -0.197173E+03   -402.095   -264.178   -102.743    4423
  4424.00000 -0.736644E+03  0.556257E+03 -0.774408E+03  0.556251E+03 -0.197231E+03   -412.058   -268.542   -102.958    4424
  4425.00000 -0.736609E+03  0.556273E+03 -0.774373E+03  0.556267E+03 -0.197289E+03   -404.919   -271.650   -103.171    4425
  4426.00000 -0.736576E+03  0.556287E+03 -0.774340E+03  0.556282E+03 -0.197347E+03   -403.053   -274.356   -103.382    4426
  4427.00000 -0.736550E+03  0.556299E+03 -0.774314E+03  0.556293E+03 -0.197404E+03   -396.268   -276.427   -103.591    4427
  4428.00000 -0.736498E+03  0.556322E+03 -0.774262E+03  0.556316E+03 -0.197461E+03   -426.925   -278.786   -103.799    4428
  4429.00000 -0.736462E+03  0.556338E+03 -0.774226E+03  0.556332E+03 -0.197518E+03   -423.404   -282.104   -104.005    4429
  4430.00000 -0.736431E+03  0.556352E+03 -0.774195E+03  0.556346E+03 -0.197575E+03   -421.539   -284.823   -104.210    4430
  4431.00000 -0.736380E+03  0.556375E+03 -0.774144E+03  0.556369E+03 -0.197631E+03   -450.032   -289.330   -104.413    4431
  4432.00000 -0.736328E+03  0.556398E+03 -0.774092E+03  0.556392E+03 -0.197688E+03   -470.105   -294.265   -104.615    4432
  4433.00000 -0.736280E+03  0.556420E+03 -0.774044E+03  0.556414E+03 -0.197744E+03   -484.206   -299.016   -104.816    4433
  4434.00000 -0.736241E+03  0.556437E+03 -0.774005E+03  0.556431E+03 -0.197799E+03   -482.513   -302.818   -105.015    4434
  4435.00000 -0.736201E+03  0.556456E+03 -0.773964E+03  0.556450E+03 -0.197855E+03   -492.466   -306.684   -105.213    4435
  4436.00000 -0.736165E+03  0.556472E+03 -0.773929E+03  0.556466E+03 -0.197910E+03   -493.705   -310.163   -105.410    4436
  4437.00000 -0.736107E+03  0.556498E+03 -0.773871E+03  0.556492E+03 -0.197965E+03   -543.557   -315.944   -105.605    4437
  4438.00000 -0.736063E+03  0.556517E+03 -0.773827E+03  0.556511E+03 -0.198020E+03   -546.306   -318.076   -105.799    4438
  4439.00000 -0.736023E+03  0.556535E+03 -0.773787E+03  0.556529E+03 -0.198074E+03   -551.225   -322.260   -105.992    4439
  4440.00000 -0.735967E+03  0.556560E+03 -0.773731E+03  0.556555E+03 -0.198128E+03   -600.811   -328.202   -106.184    4440
  4441.00000 -0.735909E+03  0.556587E+03 -0.773673E+03  0.556581E+03 -0.198182E+03   -650.127   -334.981   -106.375    4441
  4442.00000 -0.735872E+03  0.556603E+03 -0.773636E+03  0.556597E+03 -0.198236E+03   -623.197   -339.345   -106.564    4442
  4443.00000 -0.735953E+03  0.556611E+03 -0.773717E+03  0.556605E+03 -0.198290E+03   -404.838   -328.633   -106.753    4443
  4444.00000 -0.735913E+03  0.556629E+03 -0.773677E+03  0.556623E+03 -0.198343E+03   -505.693   -331.688   -106.940    4444
  4445.00000 -0.735963E+03  0.556643E+03 -0.773727E+03  0.556637E+03 -0.198396E+03   -400.962   -325.542   -107.127    4445
  4446.00000 -0.735886E+03  0.556677E+03 -0.773650E+03  0.556672E+03 -0.198449E+03   -558.308   -333.083   -107.312    4446
  4447.00000 -0.735807E+03  0.556713E+03 -0.773571E+03  0.556707E+03 -0.198502E+03   -668.609   -339.887   -107.496    4447
  4448.00000 -0.735736E+03  0.556745E+03 -0.773500E+03  0.556739E+03 -0.198554E+03   -755.693   -349.202   -107.678    4448
  4449.00000 -0.735677E+03  0.556771E+03 -0.773441E+03  0.556765E+03 -0.198607E+03   -794.037   -354.034   -107.860    4449
  4450.00000 -0.735640E+03  0.556788E+03 -0.773404E+03  0.556782E+03 -0.198659E+03   -749.079   -355.824   -108.041    4450
  4451.00000 -0.735591E+03  0.556809E+03 -0.773355E+03  0.556803E+03 -0.198710E+03   -804.121   -361.561   -108.220    4451
  4452.00000 -0.735523E+03  0.556840E+03 -0.773286E+03  0.556834E+03 -0.198762E+03  -1004.150   -367.354   -108.399    4452
  4453.00000 -0.735449E+03  0.556873E+03 -0.773213E+03  0.556867E+03 -0.198813E+03  -1269.200   -378.126   -108.576    4453
  4454.00000 -0.735409E+03  0.556891E+03 -0.773173E+03  0.556885E+03 -0.198864E+03  -1109.020   -380.965   -108.752    4454
  4455.00000 -0.735351E+03  0.556917E+03 -0.773115E+03  0.556911E+03 -0.198915E+03  -1338.320   -385.303   -108.928    4455
  4456.00000 -0.735265E+03  0.556956E+03 -0.773029E+03  0.556950E+03 -0.198966E+03  -2363.230   -399.154   -109.102    4456
  4457.00000 -0.735202E+03  0.556984E+03 -0.772966E+03  0.556978E+03 -0.199017E+03  -2686.970   -407.768   -109.275    4457
  4458.00000 -0.735100E+03  0.557096E+03 -0.772864E+03  0.557090E+03 -0.199067E+03  -9014.370   -435.223   -109.447    4458
  4459.00000 -0.735042E+03  0.557167E+03 -0.772806E+03  0.557161E+03 -0.199117E+03  -9478.420   -453.642   -109.618    4459
  4460.00000 -0.734980E+03  0.557252E+03 -0.772744E+03  0.557246E+03 -0.199167E+03 -16136.700   -479.111   -109.788    4460
  4461.00000 -0.734943E+03  0.557309E+03 -0.772707E+03  0.557303E+03 -0.199217E+03 -13158.100   -488.455   -109.957    4461
  4462.00000 -0.734902E+03  0.557377E+03 -0.772666E+03  0.557371E+03 -0.199266E+03 -16419.000   -499.296   -110.124    4462
  4463.00000 -0.734876E+03  0.557427E+03 -0.772640E+03  0.557421E+03 -0.199315E+03 -12736.400   -508.253   -110.291    4463
  4464.00000 -0.735246E+03  0.557467E+03 -0.773010E+03  0.557461E+03 -0.199364E+03   -351.979   -423.481   -110.457    4464
  4465.00000 -0.735236E+03  0.557511E+03 -0.773000E+03  0.557505E+03 -0.199413E+03   -607.311   -419.992   -110.622    4465
  4466.00000 -0.735201E+03  0.557595E+03 -0.772965E+03  0.557589E+03 -0.199462E+03   -791.273   -425.091   -110.786    4466
  4467.00000 -0.735165E+03  0.557690E+03 -0.772929E+03  0.557685E+03 -0.199511E+03   -949.898   -433.661   -110.949    4467
  4468.00000 -0.735137E+03  0.557788E+03 -0.772901E+03  0.557782E+03 -0.199559E+03  -1046.120   -446.632   -111.111    4468
  4469.00000 -0.735118E+03  0.557874E+03 -0.772882E+03  0.557868E+03 -0.199607E+03  -1075.250   -454.159   -111.271    4469
  4470.00000 -0.735106E+03  0.557946E+03 -0.772870E+03  0.557940E+03 -0.199655E+03  -1071.350   -463.682   -111.431    4470
  4471.00000 -0.735088E+03  0.558072E+03 -0.772852E+03  0.558066E+03 -0.199702E+03  -1152.640   -472.292   -111.590    4471
  4472.00000 -0.735069E+03  0.558246E+03 -0.772833E+03  0.558240E+03 -0.199750E+03  -1284.170   -491.863   -111.748    4472
  4473.00000 -0.735053E+03  0.558398E+03 -0.772817E+03  0.558392E+03 -0.199797E+03  -1398.940   -508.747   -111.904    4473
  4474.00000 -0.735028E+03  0.558634E+03 -0.772792E+03  0.558628E+03 -0.199844E+03  -1782.520   -533.473   -112.060    4474
  4475.00000 -0.735006E+03  0.558847E+03 -0.772770E+03  0.558841E+03 -0.199891E+03  -2209.030   -563.230   -112.215    4475
  4476.00000 -0.734981E+03  0.559086E+03 -0.772745E+03  0.559080E+03 -0.199938E+03  -3043.050   -597.311   -112.369    4476
  4477.00000 -0.734956E+03  0.559332E+03 -0.772720E+03  0.559326E+03 -0.199985E+03  -4585.930   -645.276   -112.523    4477
  4478.00000 -0.734932E+03  0.559582E+03 -0.772696E+03  0.559576E+03 -0.200031E+03  -7754.370   -694.993   -112.675    4478
  4479.00000 -0.734896E+03  0.559979E+03 -0.772660E+03  0.559973E+03 -0.200077E+03 -29596.600   -780.488   -112.826    4479
  4480.00000 -0.734880E+03  0.560172E+03 -0.772644E+03  0.560166E+03 -0.200123E+03 -43662.000   -864.800   -112.977    4480
  4481.00000 -0.734865E+03  0.560383E+03 -0.772629E+03  0.560377E+03 -0.200169E+03 -83764.000   -939.558   -113.126    4481
  4482.00000 -0.734854E+03  0.560543E+03 -0.772619E+03  0.560537E+03 -0.200215E+03-100000.000  -1019.950   -113.275    4482
  4483.00000 -0.742843E+03  0.560720E+03 -0.780608E+03  0.560714E+03 -0.200260E+03    -29.556   -366.539   -113.423    4483
  4484.00000 -0.742826E+03  0.561012E+03 -0.780591E+03  0.561006E+03 -0.200305E+03   -109.580   -276.678   -113.570    4484
  4485.00000 -0.742810E+03  0.561319E+03 -0.780575E+03  0.561313E+03 -0.200350E+03   -140.164   -266.474   -113.717    4485
  4486.00000 -0.742804E+03  0.561445E+03 -0.780569E+03  0.561440E+03 -0.200395E+03   -157.970   -261.541   -113.862    4486
  4487.00000 -0.742791E+03  0.561717E+03 -0.780556E+03  0.561711E+03 -0.200440E+03   -175.650   -262.608   -114.007    4487
  4488.00000 -0.742777E+03  0.562046E+03 -0.780542E+03  0.562040E+03 -0.200485E+03   -192.053   -267.686   -114.151    4488
  4489.00000 -0.742761E+03  0.562435E+03 -0.780526E+03  0.562429E+03 -0.200529E+03   -210.639   -275.768   -114.294    4489
  4490.00000 -0.742746E+03  0.562795E+03 -0.780511E+03  0.562789E+03 -0.200573E+03   -228.597   -285.441   -114.437    4490
  4491.00000 -0.742735E+03  0.563060E+03 -0.780500E+03  0.563055E+03 -0.200617E+03   -242.704   -293.805   -114.579    4491
  4492.00000 -0.742723E+03  0.563336E+03 -0.780488E+03  0.563330E+03 -0.200661E+03   -257.522   -302.253   -114.720    4492
  4493.00000 -0.742710E+03  0.563676E+03 -0.780475E+03  0.563670E+03 -0.200705E+03   -275.480   -311.965   -114.860    4493
  4494.00000 -0.742698E+03  0.563969E+03 -0.780463E+03  0.563963E+03 -0.200749E+03   -292.350   -322.404   -115.000    4494
  4495.00000 -0.742680E+03  0.564399E+03 -0.780445E+03  0.564393E+03 -0.200792E+03   -315.919   -336.381   -115.139    4495
  4496.00000 -0.742662E+03  0.564859E+03 -0.780427E+03  0.564853E+03 -0.200835E+03   -347.586   -354.518   -115.277    4496
  4497.00000 -0.742642E+03  0.565388E+03 -0.780407E+03  0.565382E+03 -0.200878E+03   -385.761   -378.756   -115.415    4497
  4498.00000 -0.743612E+03  0.565640E+03 -0.781377E+03  0.565634E+03 -0.200921E+03   -128.701   -364.320   -115.552    4498
  4499.00000 -0.744721E+03  0.566124E+03 -0.782486E+03  0.566118E+03 -0.200964E+03   -101.829   -359.983   -115.688    4499
  4500.00000 -0.744700E+03  0.566585E+03 -0.782465E+03  0.566579E+03 -0.201006E+03   -177.674   -373.837   -115.824    4500
  4501.00000 -0.744671E+03  0.567168E+03 -0.782436E+03  0.567162E+03 -0.201049E+03   -219.477   -395.249   -115.960    4501
  4502.00000 -0.744643E+03  0.567672E+03 -0.782408E+03  0.567666E+03 -0.201091E+03   -257.233   -422.358   -116.094    4502
  4503.00000 -0.744625E+03  0.567972E+03 -0.782390E+03  0.567966E+03 -0.201133E+03   -287.179   -441.363   -116.228    4503
  4504.00000 -0.752594E+03  0.568422E+03 -0.790359E+03  0.568417E+03 -0.201175E+03    -27.003   -370.759   -116.362    4504
  4505.00000 -0.752566E+03  0.568850E+03 -0.790331E+03  0.568844E+03 -0.201217E+03    -90.632   -352.269   -116.495    4505
  4506.00000 -0.752535E+03  0.569302E+03 -0.790300E+03  0.569296E+03 -0.201258E+03   -108.248   -347.229   -116.628    4506
  4507.00000 -0.752542E+03  0.569488E+03 -0.790307E+03  0.569482E+03 -0.201300E+03   -115.458   -337.059   -116.760    4507
  4508.00000 -0.752580E+03  0.569650E+03 -0.790345E+03  0.569644E+03 -0.201341E+03   -119.630   -327.823   -116.892    4508
  4509.00000 -0.752558E+03  0.569952E+03 -0.790323E+03  0.569946E+03 -0.201382E+03   -130.772   -325.414   -117.023    4509
  4510.00000 -0.752519E+03  0.570487E+03 -0.790284E+03  0.570481E+03 -0.201423E+03   -142.949   -331.036   -117.154    4510
  4511.00000 -0.752482E+03  0.570987E+03 -0.790247E+03  0.570982E+03 -0.201464E+03   -155.170   -341.991   -117.284    4511
  4512.00000 -0.752438E+03  0.571573E+03 -0.790203E+03  0.571567E+03 -0.201504E+03   -169.962   -356.168   -117.414    4512
  4513.00000 -0.752391E+03  0.572179E+03 -0.790156E+03  0.572173E+03 -0.201545E+03   -186.359   -373.544   -117.543    4513
  4514.00000 -0.752358E+03  0.572600E+03 -0.790123E+03  0.572594E+03 -0.201585E+03   -198.868   -387.854   -117.672    4514
  4515.00000 -0.753351E+03  0.572814E+03 -0.791116E+03  0.572808E+03 -0.201625E+03    -98.774   -378.574   -117.800    4515
  4516.00000 -0.753320E+03  0.573186E+03 -0.791085E+03  0.573180E+03 -0.201665E+03   -151.495   -384.342   -117.929    4516
  4517.00000 -0.754387E+03  0.573338E+03 -0.792152E+03  0.573332E+03 -0.201705E+03    -87.950   -374.141   -118.056    4517
  4518.00000 -0.754352E+03  0.573759E+03 -0.792117E+03  0.573753E+03 -0.201745E+03   -136.583   -380.686   -118.184    4518
  4519.00000 -0.754396E+03  0.574181E+03 -0.792161E+03  0.574175E+03 -0.201784E+03   -147.811   -390.967   -118.311    4519
  4520.00000 -0.754361E+03  0.574570E+03 -0.792126E+03  0.574564E+03 -0.201824E+03   -168.417   -401.599   -118.438    4520
  4521.00000 -0.754322E+03  0.575005E+03 -0.792087E+03  0.574999E+03 -0.201863E+03   -184.110   -413.878   -118.564    4521
  4522.00000 -0.754276E+03  0.575518E+03 -0.792041E+03  0.575512E+03 -0.201902E+03   -201.736   -431.352   -118.690    4522
  4523.00000 -0.762228E+03  0.576030E+03 -0.799993E+03  0.576024E+03 -0.201941E+03    -26.076   -402.020   -118.816    4523
  4524.00000 -0.762285E+03  0.576275E+03 -0.800050E+03  0.576269E+03 -0.201980E+03    -75.316   -391.260   -118.941    4524
  4525.00000 -0.764614E+03  0.576395E+03 -0.802379E+03  0.576390E+03 -0.202018E+03    -46.547   -356.890   -119.066    4525
  4526.00000 -0.764625E+03  0.576592E+03 -0.802390E+03  0.576586E+03 -0.202057E+03    -77.858   -293.801   -119.191    4526
  4527.00000 -0.764586E+03  0.576982E+03 -0.802351E+03  0.576976E+03 -0.202095E+03    -89.857   -250.015   -119.316    4527
  4528.00000 -0.764562E+03  0.577216E+03 -0.802327E+03  0.577210E+03 -0.202133E+03    -97.020   -229.389   -119.440    4528
  4529.00000 -0.765174E+03  0.577391E+03 -0.802939E+03  0.577385E+03 -0.202171E+03    -78.188   -212.560   -119.564    4529
  4530.00000 -0.765121E+03  0.577893E+03 -0.802886E+03  0.577887E+03 -0.202209E+03   -101.882   -206.660   -119.688    4530
  4531.00000 -0.765055E+03  0.578503E+03 -0.802820E+03  0.578497E+03 -0.202247E+03   -113.709   -205.382   -119.811    4531
  4532.00000 -0.764996E+03  0.579046E+03 -0.802761E+03  0.579040E+03 -0.202284E+03   -123.724   -206.669   -119.934    4532
  4533.00000 -0.764904E+03  0.579651E+03 -0.802669E+03  0.579645E+03 -0.202322E+03   -137.270   -209.682   -120.057    4533
  4534.00000 -0.764806E+03  0.580107E+03 -0.802571E+03  0.580101E+03 -0.202359E+03   -149.863   -213.332   -120.180    4534
  4535.00000 -0.764670E+03  0.580549E+03 -0.802435E+03  0.580543E+03 -0.202396E+03   -167.646   -217.316   -120.302    4535
  4536.00000 -0.764487E+03  0.580949E+03 -0.802252E+03  0.580943E+03 -0.202433E+03   -193.805   -202.142   -120.429    4536
  4537.00000 -0.764193E+03  0.581355E+03 -0.801958E+03  0.581349E+03 -0.202470E+03   -260.440   -169.732   -120.580    4537
  4538.00000 -0.764234E+03  0.581479E+03 -0.801999E+03  0.581473E+03 -0.202507E+03   -191.344   -142.908   -120.732    4538
  4539.00000 -0.763789E+03  0.581629E+03 -0.801554E+03  0.581623E+03 -0.202544E+03   -438.872   -155.536   -120.887    4539
  4540.00000 -0.763317E+03  0.581629E+03 -0.801082E+03  0.581623E+03 -0.202580E+03  -1543.700   -183.032   -121.046    4540
  4541.00000 -0.762611E+03  0.581629E+03 -0.800495E+03  0.581623E+03 -0.202617E+03-100000.000   -309.215   -121.207    4541
  4542.00000 -0.762203E+03  0.581629E+03 -0.800209E+03  0.581623E+03 -0.202653E+03-100000.000   -430.806   -121.370    4542
  4543.00000 -0.761787E+03  0.581629E+03 -0.799978E+03  0.581623E+03 -0.202689E+03-100000.000   -713.076   -121.538    4543
  4544.00000 -0.761321E+03  0.581629E+03 -0.799773E+03  0.581623E+03 -0.202726E+03-100000.000   -226.913   -121.708    4544
  4545.00000 -0.760997E+03  0.581629E+03 -0.799591E+03  0.581623E+03 -0.202762E+03-100000.000   -228.061   -121.882    4545
  4546.00000 -0.760532E+03  0.581630E+03 -0.799423E+03  0.581624E+03 -0.202798E+03-100000.000  -3799.900   -122.061    4546
  4547.00000 -0.760172E+03  0.581632E+03 -0.799273E+03  0.581626E+03 -0.202834E+03-100000.000  -3914.620   -122.242    4547
  4548.00000 -0.759804E+03  0.581635E+03 -0.799135E+03  0.581629E+03 -0.202870E+03-100000.000  -2630.380   -122.425    4548
  4549.00000 -0.759526E+03  0.581638E+03 -0.799006E+03  0.581632E+03 -0.202905E+03-100000.000  -2695.710   -122.610    4549
  4550.00000 -0.759235E+03  0.581642E+03 -0.798884E+03  0.581636E+03 -0.202941E+03-100000.000  -2125.410   -122.796    4550
  4551.00000 -0.759035E+03  0.581645E+03 -0.798769E+03  0.581639E+03 -0.202977E+03-100000.000  -2174.960   -122.984    4551
  4552.00000 -0.758883E+03  0.581648E+03 -0.798659E+03  0.581642E+03 -0.203012E+03-100000.000  -1838.820   -123.174    4552
  4553.00000 -0.758997E+03  0.581652E+03 -0.798773E+03  0.581646E+03 -0.203047E+03   -758.834   -835.489   -123.366    4553
  4554.00000 -0.766778E+03  0.581657E+03 -0.806554E+03  0.581651E+03 -0.203083E+03    -27.855    -29.142   -123.560    4554
  4555.00000 -0.766549E+03  0.581663E+03 -0.806326E+03  0.581658E+03 -0.203118E+03    -96.188    -88.443   -123.757    4555
  4556.00000 -0.766394E+03  0.581668E+03 -0.806171E+03  0.581662E+03 -0.203153E+03   -110.824   -101.475   -123.955    4556
  4557.00000 -0.766156E+03  0.581676E+03 -0.805933E+03  0.581670E+03 -0.203188E+03   -128.499   -115.549   -124.154    4557
  4558.00000 -0.766149E+03  0.581682E+03 -0.805926E+03  0.581676E+03 -0.203223E+03   -121.580   -113.227   -124.354    4558
  4559.00000 -0.766039E+03  0.581689E+03 -0.805815E+03  0.581683E+03 -0.203257E+03   -131.761   -119.202   -124.555    4559
  4560.00000 -0.765764E+03  0.581700E+03 -0.805540E+03  0.581694E+03 -0.203292E+03   -158.212   -135.260   -124.758    4560
  4561.00000 -0.765697E+03  0.581711E+03 -0.805474E+03  0.581706E+03 -0.203326E+03   -147.880   -133.384   -124.962    4561
  4562.00000 -0.765491E+03  0.581721E+03 -0.805268E+03  0.581715E+03 -0.203361E+03   -168.530   -144.596   -125.168    4562
  4563.00000 -0.767285E+03  0.581733E+03 -0.807062E+03  0.581727E+03 -0.203395E+03    -65.718    -72.213   -125.375    4563
  4564.00000 -0.768446E+03  0.581747E+03 -0.808223E+03  0.581741E+03 -0.203429E+03    -68.173    -68.674   -125.582    4564
  4565.00000 -0.768311E+03  0.581755E+03 -0.808087E+03  0.581749E+03 -0.203463E+03   -103.116    -89.815   -125.790    4565
  4566.00000 -0.768491E+03  0.581761E+03 -0.808267E+03  0.581755E+03 -0.203497E+03    -97.200    -89.627   -125.999    4566
  4567.00000 -0.768224E+03  0.581780E+03 -0.808000E+03  0.581774E+03 -0.203531E+03   -125.623   -104.119   -126.209    4567
  4568.00000 -0.767927E+03  0.581803E+03 -0.807703E+03  0.581797E+03 -0.203565E+03   -144.476   -116.698   -126.421    4568
  4569.00000 -0.767675E+03  0.581823E+03 -0.807451E+03  0.581817E+03 -0.203598E+03   -155.533   -124.346   -126.633    4569
  4570.00000 -0.767380E+03  0.581849E+03 -0.807157E+03  0.581843E+03 -0.203632E+03   -176.450   -136.160   -126.846    4570
  4571.00000 -0.767127E+03  0.581872E+03 -0.806904E+03  0.581866E+03 -0.203665E+03   -188.122   -143.603   -127.060    4571
  4572.00000 -0.766958E+03  0.581889E+03 -0.806734E+03  0.581883E+03 -0.203698E+03   -185.848   -148.227   -127.274    4572
  4573.00000 -0.767900E+03  0.581899E+03 -0.807676E+03  0.581893E+03 -0.203732E+03    -90.478   -101.625   -127.489    4573
  4574.00000 -0.767803E+03  0.581923E+03 -0.807580E+03  0.581918E+03 -0.203765E+03   -132.423   -114.680   -127.705    4574
  4575.00000 -0.767765E+03  0.581954E+03 -0.807542E+03  0.581948E+03 -0.203798E+03   -138.985   -120.718   -127.922    4575
  4576.00000 -0.769228E+03  0.581971E+03 -0.809004E+03  0.581965E+03 -0.203830E+03    -70.321    -79.434   -128.138    4576
  4577.00000 -0.770008E+03  0.581997E+03 -0.809784E+03  0.581991E+03 -0.203863E+03    -76.951    -75.634   -128.355    4577
  4578.00000 -0.769697E+03  0.582089E+03 -0.809474E+03  0.582083E+03 -0.203896E+03   -124.066    -95.507   -128.574    4578
  4579.00000 -0.769341E+03  0.582208E+03 -0.809117E+03  0.582202E+03 -0.203928E+03   -155.034   -110.391   -128.792    4579
  4580.00000 -0.769040E+03  0.582319E+03 -0.808816E+03  0.582313E+03 -0.203960E+03   -176.294   -123.707   -129.012    4580
  4581.00000 -0.768709E+03  0.582455E+03 -0.808485E+03  0.582449E+03 -0.203993E+03   -212.461   -135.538   -129.231    4581
  4582.00000 -0.768497E+03  0.582550E+03 -0.808273E+03  0.582544E+03 -0.204025E+03   -215.180   -143.252   -129.451    4582
  4583.00000 -0.768308E+03  0.582682E+03 -0.808084E+03  0.582676E+03 -0.204057E+03   -226.487   -150.871   -129.672    4583
  4584.00000 -0.768077E+03  0.582835E+03 -0.807853E+03  0.582829E+03 -0.204088E+03   -267.686   -162.915   -129.893    4584
  4585.00000 -0.767863E+03  0.583003E+03 -0.807639E+03  0.582997E+03 -0.204120E+03   -307.857   -175.806   -130.114    4585
  4586.00000 -0.767620E+03  0.583225E+03 -0.807396E+03  0.583219E+03 -0.204152E+03   -407.162   -194.009   -130.336    4586
  4587.00000 -0.767418E+03  0.583436E+03 -0.807195E+03  0.583430E+03 -0.204183E+03   -498.114   -212.542   -130.558    4587
  4588.00000 -0.767254E+03  0.583633E+03 -0.807030E+03  0.583627E+03 -0.204215E+03   -571.988   -229.126   -130.781    4588
  4589.00000 -0.767061E+03  0.583894E+03 -0.806837E+03  0.583888E+03 -0.204246E+03   -929.964   -253.761   -131.004    4589
  4590.00000 -0.766864E+03  0.584194E+03 -0.806641E+03  0.584188E+03 -0.204277E+03  -2327.060   -286.708   -131.228    4590
  4591.00000 -0.768618E+03  0.584478E+03 -0.808394E+03  0.584472E+03 -0.204308E+03    -93.051   -182.420   -131.451    4591
  4592.00000 -0.768742E+03  0.584583E+03 -0.808519E+03  0.584577E+03 -0.204339E+03   -156.325   -172.775   -131.675    4592
  4593.00000 -0.768691E+03  0.584689E+03 -0.808467E+03  0.584683E+03 -0.204370E+03   -196.920   -176.191   -131.899    4593
  4594.00000 -0.773034E+03  0.584792E+03 -0.812810E+03  0.584786E+03 -0.204400E+03    -41.238    -85.753   -132.124    4594
  4595.00000 -0.772977E+03  0.584929E+03 -0.812753E+03  0.584923E+03 -0.204431E+03    -99.678    -80.966   -132.349    4595
  4596.00000 -0.772915E+03  0.585239E+03 -0.812691E+03  0.585233E+03 -0.204461E+03   -120.040    -88.613   -132.574    4596
  4597.00000 -0.772794E+03  0.585568E+03 -0.812571E+03  0.585562E+03 -0.204491E+03   -141.566    -98.524   -132.799    4597
  4598.00000 -0.772657E+03  0.585971E+03 -0.812433E+03  0.585965E+03 -0.204522E+03   -164.620   -109.837   -133.025    4598
  4599.00000 -0.772543E+03  0.586327E+03 -0.812320E+03  0.586321E+03 -0.204552E+03   -184.489   -121.098   -133.250    4599
