

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   130.00000 -0.154293E+02  0.153790E+02 -0.154845E+02  0.153790E+02 -0.179663E+02   -203.953  -1796.420   -158.461     130
   131.00000 -0.154125E+02  0.158472E+02 -0.154677E+02  0.158472E+02 -0.179846E+02   -215.934  -1909.630   -159.086     131
   132.00000 -0.153734E+02  0.163346E+02 -0.154286E+02  0.163346E+02 -0.180027E+02   -237.270  -2022.660   -159.710     132
   133.00000 -0.153572E+02  0.167778E+02 -0.154124E+02  0.167778E+02 -0.180207E+02   -249.648  -2142.400   -160.334     133
   134.00000 -0.153150E+02  0.172856E+02 -0.153702E+02  0.172856E+02 -0.180386E+02   -279.532  -2251.280   -160.956     134
   135.00000 -0.152728E+02  0.177838E+02 -0.153280E+02  0.177838E+02 -0.180563E+02   -308.995  -2398.670   -161.577     135
   136.00000 -0.152378E+02  0.181897E+02 -0.152930E+02  0.181897E+02 -0.180738E+02   -336.146  -2545.650   -162.197     136
   137.00000 -0.151874E+02  0.187642E+02 -0.152426E+02  0.187642E+02 -0.180912E+02   -384.270  -2727.120   -162.815     137
   138.00000 -0.151428E+02  0.192632E+02 -0.151980E+02  0.192632E+02 -0.181085E+02   -435.432  -2941.270   -163.431     138
   139.00000 -0.151013E+02  0.197192E+02 -0.151565E+02  0.197192E+02 -0.181256E+02   -489.130  -3081.570   -164.045     139
   140.00000 -0.230429E+02  0.203488E+02 -0.230981E+02  0.203488E+02 -0.181426E+02    -27.598  -3177.660   -164.658     140
   141.00000 -0.229758E+02  0.210586E+02 -0.230310E+02  0.210586E+02 -0.181595E+02    -97.719  -3371.260   -165.268     141
   142.00000 -0.229286E+02  0.215496E+02 -0.229838E+02  0.215496E+02 -0.181762E+02   -118.125  -3518.410   -165.876     142
   143.00000 -0.245936E+02  0.217026E+02 -0.246488E+02  0.217026E+02 -0.181928E+02    -63.567  -3537.260   -166.482     143
   144.00000 -0.245389E+02  0.222503E+02 -0.245941E+02  0.222503E+02 -0.182092E+02   -105.865  -3655.590   -167.084     144
   145.00000 -0.244754E+02  0.228748E+02 -0.245306E+02  0.228748E+02 -0.182255E+02   -124.041  -3813.280   -167.684     145
   146.00000 -0.244670E+02  0.232452E+02 -0.245222E+02  0.232452E+02 -0.182416E+02   -133.580  -3933.440   -168.281     146
   147.00000 -0.243994E+02  0.238859E+02 -0.244546E+02  0.238859E+02 -0.182576E+02   -151.275  -4045.380   -168.875     147
   148.00000 -0.243379E+02  0.244578E+02 -0.243931E+02  0.244578E+02 -0.182735E+02   -168.746  -4177.220   -169.466     148
   149.00000 -0.242814E+02  0.249737E+02 -0.243366E+02  0.249737E+02 -0.182892E+02   -185.423  -4285.570   -170.054     149
   150.00000 -0.241861E+02  0.256007E+02 -0.242413E+02  0.256007E+02 -0.183048E+02   -215.110  -4400.090   -170.638     150
   151.00000 -0.240783E+02  0.261049E+02 -0.241335E+02  0.261049E+02 -0.183203E+02   -250.558  -4511.760   -171.220     151
   152.00000 -0.239763E+02  0.264363E+02 -0.240315E+02  0.264363E+02 -0.183356E+02   -282.664  -4588.040   -171.798     152
   153.00000 -0.238404E+02  0.267328E+02 -0.238956E+02  0.267328E+02 -0.183507E+02   -340.248  -4570.700   -172.373     153
   154.00000 -0.236147E+02  0.270449E+02 -0.236699E+02  0.270449E+02 -0.183658E+02   -557.612  -4648.550   -172.945     154
   155.00000 -0.232532E+02  0.273282E+02 -0.233084E+02  0.273282E+02 -0.183807E+02  -4926.360  -4156.560   -173.513     155
   156.00000 -0.227796E+02  0.274871E+02 -0.229841E+02  0.274871E+02 -0.183955E+02-100000.000  -2291.850   -174.079     156
   157.00000 -0.223161E+02  0.274871E+02 -0.228351E+02  0.274871E+02 -0.184102E+02-100000.000   -432.782   -174.641     157
   158.00000 -0.219137E+02  0.274871E+02 -0.227087E+02  0.274871E+02 -0.184247E+02-100000.000   -482.702   -175.199     158
   159.00000 -0.269577E+02  0.274871E+02 -0.277527E+02  0.274871E+02 -0.184391E+02    -41.067    -95.053   -175.755     159
   160.00000 -0.267550E+02  0.274871E+02 -0.275500E+02  0.274871E+02 -0.184534E+02   -120.675   -108.340   -176.306     160
   161.00000 -0.264839E+02  0.274871E+02 -0.272789E+02  0.274871E+02 -0.184675E+02   -163.031  -2027.030   -176.854     161
   162.00000 -0.262160E+02  0.274871E+02 -0.270110E+02  0.274871E+02 -0.184815E+02   -199.661  -2015.000   -177.398     162
   163.00000 -0.260480E+02  0.274876E+02 -0.268430E+02  0.274876E+02 -0.184954E+02   -208.004   -200.080   -177.939     163
   164.00000 -0.259283E+02  0.274883E+02 -0.267233E+02  0.274883E+02 -0.185092E+02   -211.705   -205.226   -178.474     164
   165.00000 -0.257084E+02  0.274901E+02 -0.265034E+02  0.274901E+02 -0.185228E+02   -256.789   -234.275   -179.006     165
